q,degree,pi_Q_1e8,mean_gap,min_gap,gap_eq_1,p1_q,k_max,null_below_p1,sophie_germain
3,2,9389636,10.65,1,695148,7,5,3,yes
5,4,5179467,19.31,1,288450,11,7,4,yes
7,6,4934525,20.27,1,258798,29,23,9,no
11,10,2276588,43.93,1,47478,23,13,8,yes
13,12,2680970,37.30,1,67203,53,41,15,no
17,16,2428628,41.18,1,56561,103,87,26,no
19,18,2820041,35.46,1,78746,191,173,42,no
23,22,1109005,90.17,1,11789,47,25,14,yes
31,30,1837055,54.43,1,34155,311,281,63,no
37,36,1170454,85.44,1,14209,149,113,34,no
41,40,823253,121.47,1,7088,83,43,22,yes
43,42,1051232,95.13,1,11416,173,131,39,no
47,46,1083547,92.29,1,12081,283,237,60,no
53,52,668230,149.65,1,4730,107,55,27,yes
61,60,875977,114.16,1,7559,367,307,72,no
71,70,788164,126.88,1,6405,569,499,103,no
83,82,347353,287.89,1,1216,167,85,38,yes
167,166,493941,202.45,1,2488,2339,2173,345,no
